time_5min,location,avg_shake_intensity,avg_sewer_water,avg_power,avg_roads_bridges,avg_medical,avg_buildings,count
2020-04-06T00:00:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,2,0,2,8,5,0,3,1
2020-04-06T00:00:00Z,3,0,6,3,10,10,9,1
2020-04-06T00:00:00Z,4,1,9,1.5,9.5,0,6.5,2
2020-04-06T00:00:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,6,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,8,0,9,7,5,0,4,1
2020-04-06T00:00:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,15,1,6,2,9,0,4,1
2020-04-06T00:00:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:00:00Z,17,0,2,4,1,0,4,1
2020-04-06T00:00:00Z,18,0,9,7,4,0,8,1
2020-04-06T00:00:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,2,0,10,10,3,0,10,1
2020-04-06T00:05:00Z,3,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,5,0,6,2,0,7,9,1
2020-04-06T00:05:00Z,6,0,10,3,8,4,1,1
2020-04-06T00:05:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,8,0,3.6,5.6,4,0,5.4,5
2020-04-06T00:05:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,13,0,10,1,4,0,3,1
2020-04-06T00:05:00Z,14,0,10,4,1,0,1,1
2020-04-06T00:05:00Z,15,0,7,9,10,0,3,1
2020-04-06T00:05:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:05:00Z,19,0,4,3,8,0,10,1
2020-04-06T00:10:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,2,0,1,7,1,0,2,1
2020-04-06T00:10:00Z,3,1,5,9,10,7,0,1
2020-04-06T00:10:00Z,4,0,6,5,9,0,7.5,2
2020-04-06T00:10:00Z,5,0,3,4,3,9,4,1
2020-04-06T00:10:00Z,6,1,0.6666666666666666,7,1.3333333333333333,6.666666666666667,9,3
2020-04-06T00:10:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,12,0,0,2,10,0,5,1
2020-04-06T00:10:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:10:00Z,18,0,2,6,1,0,3,1
2020-04-06T00:10:00Z,19,1,8,10,1,0,3,1
2020-04-06T00:15:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,2,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,3,0,4,7,5,0,9,1
2020-04-06T00:15:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,6,0,8,3,1,7,10,1
2020-04-06T00:15:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,8,0,7,5,7.75,0,6,4
2020-04-06T00:15:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,12,0,10,4,7,0,2,1
2020-04-06T00:15:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:15:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,2,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,3,0,0,7,10,10,1,1
2020-04-06T00:20:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,6,0,10,3,10,9,0,1
2020-04-06T00:20:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,15,0,0,5,4,0,8,1
2020-04-06T00:20:00Z,16,0,7,5,4,3,9,1
2020-04-06T00:20:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:20:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,2,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,3,0,4,3,7,4,3,2
2020-04-06T00:25:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,6,0,1,5,4,1,8,1
2020-04-06T00:25:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,8,0,1.5,7,5.5,0,3,2
2020-04-06T00:25:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,15,0,7.5,2,2.5,0,3,2
2020-04-06T00:25:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,17,0,2,0,7,0,9,1
2020-04-06T00:25:00Z,18,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:25:00Z,19,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,1,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,2,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,3,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,4,0,10,3,6,0,3,1
2020-04-06T00:30:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,6,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,9,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,10,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,11,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,12,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,13,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,14,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,15,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,16,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,17,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:30:00Z,18,0,2,4,4,0,3,1
2020-04-06T00:30:00Z,19,1,9,10,6,0,0,1
2020-04-06T00:35:00Z,1,0,2,10,3,5,5,1
2020-04-06T00:35:00Z,2,1,4.5,6.5,4.5,0,6,2
2020-04-06T00:35:00Z,3,0,7.5,4.5,8.5,6,2.5,2
2020-04-06T00:35:00Z,4,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,5,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,6,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,7,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,8,NA,NA,NA,NA,NA,NA,NA
2020-04-06T00:35:00Z,9,0,8,9,1,6,7,1
