location,time_5min,sd_shake_intensity,sd_sewer_water,sd_power,sd_roads_bridges,sd_medical,sd_buildings
1,2020-04-06T00:00:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T00:05:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T00:10:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T00:15:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T00:20:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T00:25:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T00:30:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T00:35:00Z,0,0,0,0,0,0
1,2020-04-06T00:40:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T00:45:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T00:50:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T00:55:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T01:00:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T01:05:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T01:10:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T01:15:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T01:20:00Z,0,0,0,0,0,0
1,2020-04-06T01:25:00Z,0,0,0,0,0,0
1,2020-04-06T01:30:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T01:35:00Z,0,0,0,0,0,0
1,2020-04-06T01:40:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T01:45:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T01:50:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T01:55:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T02:00:00Z,0,0,0,0,0,0
1,2020-04-06T02:05:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T02:10:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T02:15:00Z,0,4.242640687119285,0,4.949747468305833,2.1213203435596424,4.949747468305833
1,2020-04-06T02:20:00Z,0,0,0,0,0,0
1,2020-04-06T02:25:00Z,0,5.656854249492381,1.4142135623730951,2.1213203435596424,0.7071067811865476,4.242640687119285
1,2020-04-06T02:30:00Z,0,0,0,0,0,0
1,2020-04-06T02:35:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T02:40:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T02:45:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T02:50:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T02:55:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T03:00:00Z,0,0,0,0,0,0
1,2020-04-06T03:05:00Z,0,0,0,0,0,0
1,2020-04-06T03:10:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T03:15:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T03:20:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T03:25:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T03:30:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T03:35:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T03:40:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T03:45:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T03:50:00Z,0,0,0,0,0,0
1,2020-04-06T03:55:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T04:00:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T04:05:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T04:10:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T04:15:00Z,0,0,0,0,0,0
1,2020-04-06T04:20:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T04:25:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T04:30:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T04:35:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T04:40:00Z,0,0,0,0,0,0
1,2020-04-06T04:45:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T04:50:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T04:55:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T05:00:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T05:05:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T05:10:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T05:15:00Z,NA,NA,NA,NA,NA,NA
1,2020-04-06T05:20:00Z,0,0,0,0,0,0
1,2020-04-06T05:25:00Z,NA,NA,NA,NA,NA,NA
